iter	Logloss
0	0.5352295125
1	0.4115755377
2	0.3223038143
3	0.2636936098
4	0.2224338653
5	0.1925516062
6	0.1702843908
7	0.1585298115
8	0.1453169404
9	0.1368754016
10	0.1299841041
11	0.1244765593
12	0.1206984298
13	0.1180876348
14	0.1157051109
15	0.114085838
16	0.1123382158
17	0.1111826813
18	0.1099920232
19	0.1093228736
20	0.1084896306
21	0.1078168866
22	0.1073642756
23	0.1069950939
24	0.10657998
25	0.1062401768
26	0.1060472012
27	0.1056396915
28	0.1054111001
29	0.105245849
30	0.1051302379
31	0.1049715621
32	0.1047550653
33	0.104652876
34	0.1045560093
35	0.104411793
36	0.1043108618
37	0.1042031872
38	0.1041405841
39	0.1040242649
40	0.1039939416
41	0.1039257377
42	0.1038891968
43	0.1037963626
44	0.1036893473
45	0.1036394079
46	0.1035781649
47	0.1035584736
48	0.1035311313
49	0.1034712872
50	0.1034490514
51	0.1034159905
52	0.1033526696
53	0.1033354698
54	0.1032917667
55	0.1032618415
56	0.103207572
57	0.1031988219
58	0.1031868655
59	0.1031625973
60	0.1031542244
61	0.1031390464
62	0.1031148673
63	0.1030974297
64	0.1030741332
65	0.1030538588
66	0.1030293047
67	0.103022252
68	0.1030084986
69	0.1030010839
70	0.1029921297
71	0.102967687
72	0.1029500274
73	0.1029292464
74	0.1029117779
75	0.102903008
76	0.1028955201
77	0.1028951468
78	0.1028843905
79	0.1028821173
80	0.1028761268
81	0.1028700788
82	0.1028557231
83	0.10284137
84	0.1028303314
85	0.1028242681
86	0.1028084615
87	0.1028084615
88	0.1028005538
89	0.1028006782
90	0.1028006871
91	0.1027991738
92	0.1027886333
93	0.1027885933
94	0.102783874
95	0.1027779037
96	0.1027753752
97	0.1027682674
98	0.1027611529
99	0.102757489
100	0.102755307
101	0.1027491014
102	0.1027431402
103	0.1027431646
104	0.1027373301
105	0.1027373456
106	0.1027377367
107	0.1027377122
108	0.1027336485
109	0.1027264786
110	0.1027251165
111	0.1027146958
112	0.1027074013
113	0.1027074325
114	0.1027019443
115	0.1026995513
116	0.1026995046
117	0.1026967761
118	0.1026861131
119	0.1026792408
120	0.1026784207
121	0.1026784185
122	0.1026725994
123	0.1026710907
124	0.1026609834
125	0.1026592746
126	0.1026509513
127	0.1026471764
128	0.1026415839
129	0.102635727
130	0.1026344161
131	0.1026314164
132	0.1026185672
133	0.1026190139
134	0.1026125972
135	0.1026083424
136	0.1026053405
137	0.1026029762
138	0.1026002923
139	0.1025906983
140	0.1025933667
141	0.1025818528
142	0.1025837592
143	0.1025771801
144	0.1025729474
145	0.1025714719
146	0.102565746
147	0.1025626154
148	0.1025603357
149	0.1025549322
150	0.1025536012
151	0.1025505373
152	0.1025472379
153	0.1025453137
154	0.1025448272
155	0.1025396569
156	0.1025380304
157	0.1025421743
158	0.1025368241
159	0.1025331445
160	0.1025313537
161	0.1025290873
162	0.1025260299
163	0.1025220217
164	0.1025208441
165	0.1025180557
166	0.1025158671
167	0.1025144052
168	0.1025110568
169	0.1025055798
170	0.1025043778
171	0.1025024514
172	0.1025006205
173	0.1024902798
174	0.1024885178
175	0.1024866804
176	0.1024852204
177	0.1024831274
178	0.1024818698
179	0.1024821519
180	0.1024808411
181	0.1024785325
182	0.1024772305
183	0.1024704626
184	0.102467952
185	0.1024659256
186	0.1024630439
187	0.102462124
188	0.102459971
189	0.1024583778
190	0.1024574691
191	0.1024562271
192	0.1024548895
193	0.1024502837
